,NH3,ALCOHOL,CO2,NH4,TEMPERATURE,HUMIDITY,Type,Class,type
11,43.9,0.01,5.61,7.78,30,17,J,0,8
12,52.31,0.01,6.64,8.98,30,17,J,0,8
13,49.64,0.01,6.78,9.15,30,17,J,0,8
14,52.31,0.01,6.64,8.98,30,17,J,0,8
15,51.97,0.01,7.27,9.89,30,17,J,0,8
16,37.83,0.01,5.14,7.22,30,17,J,0,8
17,53.33,0.01,6.74,9.14,30,17,J,0,8
18,46.62,0.01,6.29,8.6,30,17,J,0,8
19,53.42,0.01,6.81,9.23,30,17,J,0,8
20,57.53,0.01,6.35,8.66,30,17,J,0,8
21,53.33,0.01,6.74,9.14,30,17,J,0,8
22,56.64,0.01,6.5,8.83,30,17,J,0,8
23,60.49,0.01,7.88,10.44,30,17,J,0,8
24,62.52,0.01,7.78,10.33,30,17,J,0,8
25,56.84,0.01,6.59,8.86,30,17,J,0,8
26,51.53,0.01,6.56,8.89,30,17,J,0,8
27,50.1,0.01,6.44,8.75,30,17,J,0,8
28,45.55,0.01,5.68,7.86,30,17,J,0,8
29,51.53,0.01,6.36,8.76,30,17,J,0,8
30,37.25,0.01,5.99,7.97,30,17,J,0,8
31,37.33,0.01,6.59,8.95,30,17,J,0,8
32,37.33,0.01,6.55,8.85,30,17,J,0,8
33,52.7,0.01,6.26,8.56,30,17,J,0,8
34,38.83,0.01,5.25,7.54,30,17,J,0,8
35,55.62,0.01,6.35,8.66,30,17,J,0,8
36,54.13,0.01,6.33,8.78,30,17,J,0,8
37,57.66,0.01,6.5,8.83,30,17,J,0,8
38,57.86,0.01,6.56,8.91,30,17,J,0,8
39,53.1,0.01,6.23,8.61,30,17,J,0,8
40,57.53,0.01,6.43,8.75,30,17,J,0,8
41,52.31,0.01,6.64,8.98,30,17,J,0,8
42,49.75,0.01,6.85,9.23,30,17,J,0,8
43,43.9,0.01,5.54,7.7,30,17,J,0,8
44,45.55,0.01,5.68,7.86,30,17,J,0,8
45,48.25,0.01,5.82,8.12,30,17,J,0,8
46,56.64,0.01,6.5,8.83,30,17,J,0,8
47,47.25,0.01,5.78,7.99,30,17,J,0,8
48,47.25,0.01,5.78,7.99,30,17,J,0,8
49,52.53,0.01,6.64,8.97,30,17,J,0,8
50,55.62,0.01,6.26,8.56,30,17,J,0,8
10A,52.73,0.01,6.79,8.96,30,17,J,0,8
10B,59.5,0.01,6.43,8.75,30,17,J,0,8
10C,55.73,0.01,6.84,9.08,30,17,J,0,8
10D,49.64,0.01,6.78,9.15,30,17,J,0,8
